epoch,layer,update_to_weight_ratio
3,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.032618490302318545
3,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.14926294767115275
3,_orig_mod.transformer.layers.1.linear1.weight,0.04253868922137743
3,_orig_mod.transformer.layers.1.linear1.bias,0.2312532459216012
3,_orig_mod.transformer.layers.1.linear2.weight,0.08647630290575316
3,_orig_mod.transformer.layers.1.linear2.bias,0.1369448975850719
3,_orig_mod.transformer.layers.1.norm1.weight,0.0038314503249614116
3,_orig_mod.transformer.layers.1.norm1.bias,0.13485480891981946
3,_orig_mod.transformer.layers.1.norm2.weight,0.008031572380534013
3,_orig_mod.transformer.layers.1.norm2.bias,0.2005738887254248
3,_orig_mod.output.weight,0.05909459535060518
3,_orig_mod.output.bias,1.1576718442421663
3,AGGREGATE,0.01821421063416644
4,_orig_mod.pos_encoding,0.002105194979973171
4,_orig_mod.input_proj.weight,0.02185715781417074
4,_orig_mod.input_proj.bias,0.10039016849165013
4,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.026640162114385853
4,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.14639092806584858
4,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.02052563720489991
4,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.07711724991507789
4,_orig_mod.transformer.layers.0.linear1.weight,0.02362786124240672
4,_orig_mod.transformer.layers.0.linear1.bias,0.16481653665474416
4,_orig_mod.transformer.layers.0.linear2.weight,0.02336463704016908
4,_orig_mod.transformer.layers.0.linear2.bias,0.09316119710069816
4,_orig_mod.transformer.layers.0.norm1.weight,0.0025081150475801724
4,_orig_mod.transformer.layers.0.norm1.bias,0.1005041841658738
4,_orig_mod.transformer.layers.0.norm2.weight,0.0026266762913773746
4,_orig_mod.transformer.layers.0.norm2.bias,0.10395827611360754
4,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.036992930877435125
4,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.19587812974934954
4,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.03151513475606919
4,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.14239404206877893
4,_orig_mod.transformer.layers.1.linear1.weight,0.03870496845574101
4,_orig_mod.transformer.layers.1.linear1.bias,0.21202034504725237
4,_orig_mod.transformer.layers.1.linear2.weight,0.07616849436864168
4,_orig_mod.transformer.layers.1.linear2.bias,0.1069987274617381
4,_orig_mod.transformer.layers.1.norm1.weight,0.0035670386137602594
4,_orig_mod.transformer.layers.1.norm1.bias,0.14386648853960052
4,_orig_mod.transformer.layers.1.norm2.weight,0.009418533916185905
4,_orig_mod.transformer.layers.1.norm2.bias,0.22664832129211748
4,_orig_mod.output.weight,0.06495537569490473
4,_orig_mod.output.bias,2.7271252582505614
4,AGGREGATE,0.017495491278562408
5,_orig_mod.pos_encoding,0.002147280242202548
5,_orig_mod.input_proj.weight,0.060900884391356276
5,_orig_mod.input_proj.bias,0.1653487723800331
5,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.03310501459839894
5,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.23670130283207053
5,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.026231389528832
5,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.10623123547353368
5,_orig_mod.transformer.layers.0.linear1.weight,0.028786329860421282
5,_orig_mod.transformer.layers.0.linear1.bias,0.16376728203355037
5,_orig_mod.transformer.layers.0.linear2.weight,0.02830974924587208
5,_orig_mod.transformer.layers.0.linear2.bias,0.12233230900910524
5,_orig_mod.transformer.layers.0.norm1.weight,0.002646490655948865
5,_orig_mod.transformer.layers.0.norm1.bias,0.10980133021893122
5,_orig_mod.transformer.layers.0.norm2.weight,0.002809147854215119
5,_orig_mod.transformer.layers.0.norm2.bias,0.12289646264511994
5,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.04504505114708661
5,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.23798726756507474
5,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.030879567605871586
5,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.13012504312465073
5,_orig_mod.transformer.layers.1.linear1.weight,0.03939040956909385
5,_orig_mod.transformer.layers.1.linear1.bias,0.2167951018202249
5,_orig_mod.transformer.layers.1.linear2.weight,0.06112310317124745
5,_orig_mod.transformer.layers.1.linear2.bias,0.07839687343578466
5,_orig_mod.transformer.layers.1.norm1.weight,0.003895321801719773
5,_orig_mod.transformer.layers.1.norm1.bias,0.1316669699547245
5,_orig_mod.transformer.layers.1.norm2.weight,0.00835634464818818
5,_orig_mod.transformer.layers.1.norm2.bias,0.1456448691673235
5,_orig_mod.output.weight,0.06481068374716385
5,_orig_mod.output.bias,0.21628933935956726
5,AGGREGATE,0.01706603830375287
6,_orig_mod.pos_encoding,0.002156261949926529
6,_orig_mod.input_proj.weight,0.055701062173976745
6,_orig_mod.input_proj.bias,0.11855596645675848
6,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.035666586083772864
6,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.14193711352039573
6,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.029293361990633274
6,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.10344147413081747
6,_orig_mod.transformer.layers.0.linear1.weight,0.029240156011900047
6,_orig_mod.transformer.layers.0.linear1.bias,0.17204426735043435
6,_orig_mod.transformer.layers.0.linear2.weight,0.029011454268588446
6,_orig_mod.transformer.layers.0.linear2.bias,0.10684666131252404
6,_orig_mod.transformer.layers.0.norm1.weight,0.002687562029512136
6,_orig_mod.transformer.layers.0.norm1.bias,0.1028524804111917
6,_orig_mod.transformer.layers.0.norm2.weight,0.0028169780460550356
6,_orig_mod.transformer.layers.0.norm2.bias,0.10214052856458883
6,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.04927640180076012
6,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.2300280927799698
6,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.03156878286866464
6,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.12747695735314524
6,_orig_mod.transformer.layers.1.linear1.weight,0.03635810088929897
6,_orig_mod.transformer.layers.1.linear1.bias,0.1831259637423598
6,_orig_mod.transformer.layers.1.linear2.weight,0.04633987609251771
6,_orig_mod.transformer.layers.1.linear2.bias,0.05468369971758686
6,_orig_mod.transformer.layers.1.norm1.weight,0.0034987299675805447
6,_orig_mod.transformer.layers.1.norm1.bias,0.12566121379454542
6,_orig_mod.transformer.layers.1.norm2.weight,0.0060666938309555255
6,_orig_mod.transformer.layers.1.norm2.bias,0.0841453353355959
6,_orig_mod.output.weight,0.050753587228440415
6,_orig_mod.output.bias,5.464606630371314
6,AGGREGATE,0.016011765001266002
7,_orig_mod.pos_encoding,0.002395662665759279
7,_orig_mod.input_proj.weight,0.06408219165740997
7,_orig_mod.input_proj.bias,0.2886871045270057
7,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.054009732827378074
7,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.2802684437923091
7,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.052518132727234344
7,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.192694517267016
7,_orig_mod.transformer.layers.0.linear1.weight,0.05411081633271672
7,_orig_mod.transformer.layers.0.linear1.bias,0.29863525951586506
7,_orig_mod.transformer.layers.0.linear2.weight,0.04964754772831854
7,_orig_mod.transformer.layers.0.linear2.bias,0.221730333457948
7,_orig_mod.transformer.layers.0.norm1.weight,0.004268546716610276
7,_orig_mod.transformer.layers.0.norm1.bias,0.24880071912463558
7,_orig_mod.transformer.layers.0.norm2.weight,0.004366272460213361
7,_orig_mod.transformer.layers.0.norm2.bias,0.21081284348763726
7,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.06794232292956745
7,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.2696405429173512
7,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.037847914219011264
7,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.14757441866170845
7,_orig_mod.transformer.layers.1.linear1.weight,0.04244582097686124
7,_orig_mod.transformer.layers.1.linear1.bias,0.19637291141256022
7,_orig_mod.transformer.layers.1.linear2.weight,0.042767761653492185
7,_orig_mod.transformer.layers.1.linear2.bias,0.05130837809499559
7,_orig_mod.transformer.layers.1.norm1.weight,0.0038575831352758725
7,_orig_mod.transformer.layers.1.norm1.bias,0.11610486707970591
7,_orig_mod.transformer.layers.1.norm2.weight,0.007077440375561475
7,_orig_mod.transformer.layers.1.norm2.bias,0.09933603789613009
7,_orig_mod.output.weight,0.054799924340651396
7,_orig_mod.output.bias,1.2643928160321494
7,AGGREGATE,0.021603229620590005
8,_orig_mod.pos_encoding,0.002204324708820316
8,_orig_mod.input_proj.weight,0.04256984175169947
8,_orig_mod.input_proj.bias,0.126535274099252
8,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.04437905461735013
8,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.2006927427743842
8,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.034579224800040095
8,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.10104360774480603
8,_orig_mod.transformer.layers.0.linear1.weight,0.0351297948520917
8,_orig_mod.transformer.layers.0.linear1.bias,0.16478866285025018
8,_orig_mod.transformer.layers.0.linear2.weight,0.03636962802179542
8,_orig_mod.transformer.layers.0.linear2.bias,0.08808240207274437
8,_orig_mod.transformer.layers.0.norm1.weight,0.0031002672288250885
8,_orig_mod.transformer.layers.0.norm1.bias,0.13286157895060163
8,_orig_mod.transformer.layers.0.norm2.weight,0.0034698544405167148
8,_orig_mod.transformer.layers.0.norm2.bias,0.11102269614527714
8,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.05937837532242054
8,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.26286499476338354
8,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.0343559089451204
8,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.12484957216920863
8,_orig_mod.transformer.layers.1.linear1.weight,0.04175689657899854
8,_orig_mod.transformer.layers.1.linear1.bias,0.19466004866845982
8,_orig_mod.transformer.layers.1.linear2.weight,0.04304585254328748
8,_orig_mod.transformer.layers.1.linear2.bias,0.048286077342877765
8,_orig_mod.transformer.layers.1.norm1.weight,0.003628599767839074
8,_orig_mod.transformer.layers.1.norm1.bias,0.10163290539654277
8,_orig_mod.transformer.layers.1.norm2.weight,0.0068680323585186024
8,_orig_mod.transformer.layers.1.norm2.bias,0.08205056677209294
8,_orig_mod.output.weight,0.06716120877162088
8,_orig_mod.output.bias,0.6505472620462016
8,AGGREGATE,0.018174284929327666
9,_orig_mod.pos_encoding,0.002245451753690555
9,_orig_mod.input_proj.weight,0.05778532848205542
9,_orig_mod.input_proj.bias,0.11834499636378366
9,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.04683199754782045
9,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.1469339028471605
9,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.03775425591710038
9,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.1054277538320862
9,_orig_mod.transformer.layers.0.linear1.weight,0.03932545178985729
9,_orig_mod.transformer.layers.0.linear1.bias,0.18473922426066391
9,_orig_mod.transformer.layers.0.linear2.weight,0.045256378131590363
9,_orig_mod.transformer.layers.0.linear2.bias,0.11596521442882295
9,_orig_mod.transformer.layers.0.norm1.weight,0.0031646201399333613
9,_orig_mod.transformer.layers.0.norm1.bias,0.11167669686925251
9,_orig_mod.transformer.layers.0.norm2.weight,0.0037924739115474627
9,_orig_mod.transformer.layers.0.norm2.bias,0.1141357145091593
9,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.06817189307912064
9,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.24894722443000342
9,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.0455584549688723
9,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.1294131778180686
9,_orig_mod.transformer.layers.1.linear1.weight,0.04486706264446612
9,_orig_mod.transformer.layers.1.linear1.bias,0.1843522564737438
9,_orig_mod.transformer.layers.1.linear2.weight,0.042770136686315484
9,_orig_mod.transformer.layers.1.linear2.bias,0.04506904062451786
9,_orig_mod.transformer.layers.1.norm1.weight,0.0038823823998111067
9,_orig_mod.transformer.layers.1.norm1.bias,0.09343082247249722
9,_orig_mod.transformer.layers.1.norm2.weight,0.006395756291008198
9,_orig_mod.transformer.layers.1.norm2.bias,0.07018272939673678
9,_orig_mod.output.weight,0.05794124620266009
9,_orig_mod.output.bias,1.545139026937772
9,AGGREGATE,0.02023873652457321
10,_orig_mod.pos_encoding,0.0030426710443191376
10,_orig_mod.input_proj.weight,0.06062868905810199
10,_orig_mod.input_proj.bias,0.38517625389741983
10,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.10161525314944514
10,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.3729866625588282
10,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.09985177251228261
10,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.32723099469891226
10,_orig_mod.transformer.layers.0.linear1.weight,0.09313445437271611
10,_orig_mod.transformer.layers.0.linear1.bias,0.4288901581448762
10,_orig_mod.transformer.layers.0.linear2.weight,0.10553587638578041
10,_orig_mod.transformer.layers.0.linear2.bias,0.38521264029255226
10,_orig_mod.transformer.layers.0.norm1.weight,0.007410657916422707
10,_orig_mod.transformer.layers.0.norm1.bias,0.4032441391445818
10,_orig_mod.transformer.layers.0.norm2.weight,0.00968953375648801
10,_orig_mod.transformer.layers.0.norm2.bias,0.3839720733826085
10,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.13776346910189277
10,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.46747098980932483
10,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.08485887591853329
10,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.2694347041354647
10,_orig_mod.transformer.layers.1.linear1.weight,0.07597198501932509
10,_orig_mod.transformer.layers.1.linear1.bias,0.26062780264244084
10,_orig_mod.transformer.layers.1.linear2.weight,0.050408516013122386
10,_orig_mod.transformer.layers.1.linear2.bias,0.06623175728748643
10,_orig_mod.transformer.layers.1.norm1.weight,0.0055728161004305775
10,_orig_mod.transformer.layers.1.norm1.bias,0.19245945089277305
10,_orig_mod.transformer.layers.1.norm2.weight,0.007773059315383599
10,_orig_mod.transformer.layers.1.norm2.bias,0.08892101600203112
10,_orig_mod.output.weight,0.08089858828616357
10,_orig_mod.output.bias,0.5348872653203997
10,AGGREGATE,0.04052184041059816
11,_orig_mod.pos_encoding,0.0021378209794282637
11,_orig_mod.input_proj.weight,0.06251361747116324
11,_orig_mod.input_proj.bias,0.07468860185596007
11,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.03406307523706487
11,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.08830839074520627
11,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.035876979321786594
11,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.06698139410849833
11,_orig_mod.transformer.layers.0.linear1.weight,0.03886194906076803
11,_orig_mod.transformer.layers.0.linear1.bias,0.1428212590358107
11,_orig_mod.transformer.layers.0.linear2.weight,0.04017349574091679
11,_orig_mod.transformer.layers.0.linear2.bias,0.07241905531441634
11,_orig_mod.transformer.layers.0.norm1.weight,0.003028131256238879
11,_orig_mod.transformer.layers.0.norm1.bias,0.08570803170268354
11,_orig_mod.transformer.layers.0.norm2.weight,0.0034991750157760916
11,_orig_mod.transformer.layers.0.norm2.bias,0.10471978627649309
11,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.08216769152742694
11,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.30118343368435496
11,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.043757206360893246
11,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.10563388727894707
11,_orig_mod.transformer.layers.1.linear1.weight,0.045685422279278916
11,_orig_mod.transformer.layers.1.linear1.bias,0.15283578785008925
11,_orig_mod.transformer.layers.1.linear2.weight,0.03312115909040543
11,_orig_mod.transformer.layers.1.linear2.bias,0.031640254019393924
11,_orig_mod.transformer.layers.1.norm1.weight,0.003798891256780609
11,_orig_mod.transformer.layers.1.norm1.bias,0.08189255982234815
11,_orig_mod.transformer.layers.1.norm2.weight,0.006137761680348929
11,_orig_mod.transformer.layers.1.norm2.bias,0.05964224930856317
11,_orig_mod.output.weight,0.06379072585486828
11,_orig_mod.output.bias,0.39279459391408006
11,AGGREGATE,0.020117693487543983
12,_orig_mod.pos_encoding,0.002666629021651921
12,_orig_mod.input_proj.weight,0.06311143250179863
12,_orig_mod.input_proj.bias,0.2469036379174377
12,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.06978948298713185
12,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.2712218475215439
12,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.07146596114753528
12,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.1914717636935216
12,_orig_mod.transformer.layers.0.linear1.weight,0.06395170884840996
12,_orig_mod.transformer.layers.0.linear1.bias,0.21937906038038657
